disease,n,p,k,temperature,humidity,ph,severity_level
Nutrient Deficiency,125,75,125,27.6,70,5.5,1
Nutrient Deficiency,126,76,126,27.7,60,6.5,1
Nutrient Deficiency,127,77,127,27.8,61,6.4,1
Nutrient Deficiency,128,78,128,27.9,62,6.3,1
Nutrient Deficiency,129,79,129,28,63,6.2,1
Nutrient Deficiency,130,80,130,28.1,64,6.1,1
Nutrient Deficiency,131,81,131,28.2,65,6,1
Nutrient Deficiency,132,82,132,28.3,66,5.9,1
Nutrient Deficiency,133,83,133,28.4,67,5.8,1
Nutrient Deficiency,134,84,134,28.5,68,5.7,1
Nutrient Deficiency,135,85,135,28.6,69,5.6,1
Nutrient Deficiency,136,86,136,28.7,70,5.5,1
Nutrient Deficiency,137,87,137,28.8,60,6.5,1
Nutrient Deficiency,138,88,138,28.9,61,6.4,1
Nutrient Deficiency,139,89,139,29,62,6.3,1
Nutrient Deficiency,140,90,140,29.1,63,6.2,1
Nutrient Deficiency,141,91,141,29.2,64,6.1,1
Nutrient Deficiency,142,92,142,29.3,65,6,1
Nutrient Deficiency,143,93,143,29.4,66,5.9,1
Nutrient Deficiency,144,94,144,29.5,67,5.8,1
Nutrient Deficiency,145,95,145,29.6,68,5.7,1
Nutrient Deficiency,146,96,146,29.7,69,5.6,1
Nutrient Deficiency,147,97,147,29.8,70,5.5,1
Nutrient Deficiency,148,98,148,29.9,60,6.5,1
Nutrient Deficiency,149,99,149,30,61,6.4,1
Nutrient Deficiency,100,50,100,15,60,6.5,1
Nutrient Deficiency,101,51,101,15.1,61,6.4,1
Nutrient Deficiency,102,52,102,15.2,62,6.3,1
Nutrient Deficiency,103,53,103,15.3,63,6.2,1
Nutrient Deficiency,104,54,104,15.4,64,6.1,1
Nutrient Deficiency,105,55,105,15.5,65,6,1
Nutrient Deficiency,106,56,106,15.6,66,5.9,1
Nutrient Deficiency,107,57,107,15.7,67,5.8,1
Nutrient Deficiency,108,58,108,15.8,68,5.7,1
Nutrient Deficiency,109,59,109,15.9,69,5.6,1
Nutrient Deficiency,110,60,110,16,70,5.5,1
Nutrient Deficiency,111,61,111,16.1,60,6.5,1
Nutrient Deficiency,112,62,112,16.2,61,6.4,1
Nutrient Deficiency,113,63,113,16.3,62,6.3,1
Nutrient Deficiency,114,64,114,16.4,63,6.2,1
Nutrient Deficiency,115,65,115,16.5,64,6.1,1
Nutrient Deficiency,116,66,116,16.6,65,6,1
Nutrient Deficiency,117,67,117,16.7,66,5.9,1
Nutrient Deficiency,118,68,118,16.8,67,5.8,1
Nutrient Deficiency,119,69,119,16.9,68,5.7,1
Nutrient Deficiency,120,70,120,17,69,5.6,1
Nutrient Deficiency,121,71,121,17.1,70,5.5,1
Nutrient Deficiency,122,72,122,17.2,60,6.5,1
Nutrient Deficiency,123,73,123,17.3,61,6.4,1
Nutrient Deficiency,124,74,124,17.4,62,6.3,1
Nutrient Deficiency,125,75,125,17.5,63,6.2,1
Nutrient Deficiency,126,76,126,17.6,64,6.1,1
Nutrient Deficiency,127,77,127,17.7,65,6,1
Nutrient Deficiency,128,78,128,17.8,66,5.9,1
Nutrient Deficiency,129,79,129,17.9,67,5.8,1
Nutrient Deficiency,130,80,130,18,68,5.7,1
Nutrient Deficiency,131,81,131,18.1,69,5.6,1
Nutrient Deficiency,132,82,132,18.2,70,5.5,1
Nutrient Deficiency,133,83,133,18.3,60,6.5,1
Nutrient Deficiency,134,84,134,18.4,61,6.4,1
Nutrient Deficiency,135,85,135,18.5,62,6.3,1
Nutrient Deficiency,136,86,136,18.6,63,6.2,1
Nutrient Deficiency,137,87,137,18.7,64,6.1,1
Nutrient Deficiency,138,88,138,18.8,65,6,1
Nutrient Deficiency,139,89,139,18.9,66,5.9,1
Nutrient Deficiency,140,90,140,19,67,5.8,1
Nutrient Deficiency,141,91,141,19.1,68,5.7,1
Nutrient Deficiency,142,92,142,19.2,69,5.6,1
Nutrient Deficiency,143,93,143,19.3,70,5.5,1
Nutrient Deficiency,144,94,144,19.4,60,6.5,1
Nutrient Deficiency,145,95,145,19.5,61,6.4,1
Nutrient Deficiency,146,96,146,19.6,62,6.3,1
Nutrient Deficiency,147,97,147,19.7,63,6.2,1
Nutrient Deficiency,148,98,148,19.8,64,6.1,1
Nutrient Deficiency,149,99,149,19.9,65,6,1
Nutrient Deficiency,150,100,150,20,66,5.9,1
Nutrient Deficiency,100,50,100,20.1,67,5.8,1
Nutrient Deficiency,101,51,101,20.2,68,5.7,1
Nutrient Deficiency,102,52,102,20.3,69,5.6,1
Nutrient Deficiency,103,53,103,20.4,70,5.5,1
Nutrient Deficiency,104,54,104,20.5,60,6.5,1
Nutrient Deficiency,105,55,105,20.6,61,6.4,1
Nutrient Deficiency,106,56,106,20.7,62,6.3,1
Nutrient Deficiency,107,57,107,20.8,63,6.2,1
Nutrient Deficiency,108,58,108,20.9,64,6.1,1
Nutrient Deficiency,109,59,109,21,65,6,1
Nutrient Deficiency,110,60,110,21.1,66,5.9,1
Nutrient Deficiency,111,61,111,21.2,67,5.8,1
Nutrient Deficiency,112,62,112,21.3,68,5.7,1
Nutrient Deficiency,113,63,113,21.4,69,5.6,1
Nutrient Deficiency,114,64,114,21.5,70,5.5,1
Nutrient Deficiency,115,65,115,21.6,60,6.5,1
Nutrient Deficiency,116,66,116,21.7,61,6.4,1
Nutrient Deficiency,117,67,117,21.8,62,6.3,1
Nutrient Deficiency,118,68,118,21.9,63,6.2,1
Nutrient Deficiency,119,69,119,22,64,6.1,1
Nutrient Deficiency,120,70,120,22.1,65,6,1
Nutrient Deficiency,121,71,121,22.2,66,5.9,1
Nutrient Deficiency,122,72,122,22.3,67,5.8,1
Nutrient Deficiency,123,73,123,22.4,68,5.7,1
Nutrient Deficiency,124,74,124,22.5,69,5.6,1
Nutrient Deficiency,125,75,125,22.6,70,5.5,1
Nutrient Deficiency,126,76,126,22.7,60,6.5,1
Nutrient Deficiency,127,77,127,22.8,61,6.4,1
Nutrient Deficiency,128,78,128,22.9,62,6.3,1
Nutrient Deficiency,129,79,129,23,63,6.2,1
Nutrient Deficiency,130,80,130,23.1,64,6.1,1
Nutrient Deficiency,131,81,131,23.2,65,6,1
Nutrient Deficiency,132,82,132,23.3,66,5.9,1
Nutrient Deficiency,133,83,133,23.4,67,5.8,1
Nutrient Deficiency,134,84,134,23.5,68,5.7,1
Nutrient Deficiency,135,85,135,23.6,69,5.6,1
Nutrient Deficiency,136,86,136,23.7,70,5.5,1
Nutrient Deficiency,137,87,137,23.8,60,6.5,1
Nutrient Deficiency,138,88,138,23.9,61,6.4,1
Nutrient Deficiency,139,89,139,24,62,6.3,1
Nutrient Deficiency,140,90,140,24.1,63,6.2,1
Nutrient Deficiency,141,91,141,24.2,64,6.1,1
Nutrient Deficiency,142,92,142,24.3,65,6,1
Nutrient Deficiency,143,93,143,24.4,66,5.9,1
Nutrient Deficiency,144,94,144,24.5,67,5.8,1
Nutrient Deficiency,145,95,145,24.6,68,5.7,1
Nutrient Deficiency,146,96,146,24.7,69,5.6,1
Nutrient Deficiency,147,97,147,24.8,70,5.5,1
Nutrient Deficiency,148,98,148,24.9,60,6.5,1
Nutrient Deficiency,149,99,149,25,61,6.4,1
Salinity Stress,100,50,100,20,60,6.5,1
Salinity Stress,101,51,101,20.1,61,6.4,1
Salinity Stress,102,52,102,20.2,62,6.3,1
Salinity Stress,103,53,103,20.3,63,6.2,1
Salinity Stress,104,54,104,20.4,64,6.1,1
Salinity Stress,105,55,105,20.5,65,6,1
Salinity Stress,106,56,106,20.6,66,5.9,1
Salinity Stress,107,57,107,20.7,67,5.8,1
Salinity Stress,108,58,108,20.8,68,5.7,1
Salinity Stress,109,59,109,20.9,69,5.6,1
Salinity Stress,110,60,110,21,70,5.5,1
Salinity Stress,111,61,111,21.1,60,6.5,1
Salinity Stress,112,62,112,21.2,61,6.4,1
Salinity Stress,113,63,113,21.3,62,6.3,1
Salinity Stress,114,64,114,21.4,63,6.2,1
Salinity Stress,115,65,115,21.5,64,6.1,1
Salinity Stress,116,66,116,21.6,65,6,1
Salinity Stress,117,67,117,21.7,66,5.9,1
Salinity Stress,118,68,118,21.8,67,5.8,1
Salinity Stress,119,69,119,21.9,68,5.7,1
Salinity Stress,120,70,120,22,69,5.6,1
Salinity Stress,121,71,121,22.1,70,5.5,1
Salinity Stress,122,72,122,22.2,60,6.5,1
Salinity Stress,123,73,123,22.3,61,6.4,1
Salinity Stress,124,74,124,22.4,62,6.3,1
Salinity Stress,125,75,125,22.5,63,6.2,1
Salinity Stress,126,76,126,22.6,64,6.1,1
Salinity Stress,127,77,127,22.7,65,6,1
Salinity Stress,128,78,128,22.8,66,5.9,1
Salinity Stress,129,79,129,22.9,67,5.8,1
Salinity Stress,130,80,130,23,68,5.7,1
Salinity Stress,131,81,131,23.1,69,5.6,1
Salinity Stress,132,82,132,23.2,70,5.5,1
Salinity Stress,133,83,133,23.3,60,6.5,1
Salinity Stress,134,84,134,23.4,61,6.4,1
Salinity Stress,135,85,135,23.5,62,6.3,1
Salinity Stress,136,86,136,23.6,63,6.2,1
Salinity Stress,137,87,137,23.7,64,6.1,1
Salinity Stress,138,88,138,23.8,65,6,1
Salinity Stress,139,89,139,23.9,66,5.9,1
Salinity Stress,140,90,140,24,67,5.8,1
Salinity Stress,141,91,141,24.1,68,5.7,1
Salinity Stress,142,92,142,24.2,69,5.6,1
Salinity Stress,143,93,143,24.3,70,5.5,1
Salinity Stress,144,94,144,24.4,60,6.5,1
Salinity Stress,145,95,145,24.5,61,6.4,1
Salinity Stress,146,96,146,24.6,62,6.3,1
Salinity Stress,147,97,147,24.7,63,6.2,1
Salinity Stress,148,98,148,24.8,64,6.1,1
Salinity Stress,149,99,149,24.9,65,6,1
Salinity Stress,150,100,150,25,66,5.9,1
Salinity Stress,100,50,100,25.1,67,5.8,1
Salinity Stress,101,51,101,25.2,68,5.7,1
Salinity Stress,102,52,102,25.3,69,5.6,1
Salinity Stress,103,53,103,25.4,70,5.5,1
Salinity Stress,104,54,104,25.5,60,6.5,1
Salinity Stress,105,55,105,25.6,61,6.4,1
Salinity Stress,106,56,106,25.7,62,6.3,1
Salinity Stress,107,57,107,25.8,63,6.2,1
Salinity Stress,108,58,108,25.9,64,6.1,1
Salinity Stress,109,59,109,26,65,6,1
Salinity Stress,110,60,110,26.1,66,5.9,1
Salinity Stress,111,61,111,26.2,67,5.8,1
Salinity Stress,112,62,112,26.3,68,5.7,1
Salinity Stress,113,63,113,26.4,69,5.6,1
Salinity Stress,114,64,114,26.5,70,5.5,1
Salinity Stress,115,65,115,26.6,60,6.5,1
Salinity Stress,116,66,116,26.7,61,6.4,1
Salinity Stress,117,67,117,26.8,62,6.3,1
Salinity Stress,118,68,118,26.9,63,6.2,1
Salinity Stress,119,69,119,27,64,6.1,1
Salinity Stress,120,70,120,27.1,65,6,1
Salinity Stress,121,71,121,27.2,66,5.9,1
Salinity Stress,122,72,122,27.3,67,5.8,1
Salinity Stress,123,73,123,27.4,68,5.7,1
Salinity Stress,124,74,124,27.5,69,5.6,1
Salinity Stress,125,75,125,27.6,70,5.5,1
Salinity Stress,126,76,126,27.7,60,6.5,1
Salinity Stress,127,77,127,27.8,61,6.4,1
Salinity Stress,128,78,128,27.9,62,6.3,1
Salinity Stress,129,79,129,28,63,6.2,1
Salinity Stress,130,80,130,28.1,64,6.1,1
Salinity Stress,131,81,131,28.2,65,6,1
Salinity Stress,132,82,132,28.3,66,5.9,1
Salinity Stress,133,83,133,28.4,67,5.8,1
Salinity Stress,134,84,134,28.5,68,5.7,1
Salinity Stress,135,85,135,28.6,69,5.6,1
Salinity Stress,136,86,136,28.7,70,5.5,1
Salinity Stress,137,87,137,28.8,60,6.5,1
Salinity Stress,138,88,138,28.9,61,6.4,1
Salinity Stress,139,89,139,29,62,6.3,1
Salinity Stress,140,90,140,29.1,63,6.2,1
Salinity Stress,141,91,141,29.2,64,6.1,1
Salinity Stress,142,92,142,29.3,65,6,1
Salinity Stress,143,93,143,29.4,66,5.9,1
Salinity Stress,144,94,144,29.5,67,5.8,1
Salinity Stress,145,95,145,29.6,68,5.7,1
Salinity Stress,146,96,146,29.7,69,5.6,1
Salinity Stress,147,97,147,29.8,70,5.5,1
Salinity Stress,148,98,148,29.9,60,6.5,1
Salinity Stress,149,99,149,30,61,6.4,1
Powdery Mildew,100,50,100,15,60,6.5,1
Powdery Mildew,101,51,101,15.1,61,6.4,1
Powdery Mildew,102,52,102,15.2,62,6.3,1
Powdery Mildew,103,53,103,15.3,63,6.2,1
Powdery Mildew,104,54,104,15.4,64,6.1,1
Powdery Mildew,105,55,105,15.5,65,6,1
Powdery Mildew,106,56,106,15.6,66,5.9,1
Powdery Mildew,107,57,107,15.7,67,5.8,1
Powdery Mildew,108,58,108,15.8,68,5.7,1
Powdery Mildew,109,59,109,15.9,69,5.6,1
Powdery Mildew,110,60,110,16,70,5.5,1
Powdery Mildew,111,61,111,16.1,60,6.5,1
Powdery Mildew,112,62,112,16.2,61,6.4,1
Powdery Mildew,113,63,113,16.3,62,6.3,1
Powdery Mildew,114,64,114,16.4,63,6.2,1
Powdery Mildew,115,65,115,16.5,64,6.1,1
Powdery Mildew,116,66,116,16.6,65,6,1
Powdery Mildew,117,67,117,16.7,66,5.9,1
Powdery Mildew,118,68,118,16.8,67,5.8,1
Powdery Mildew,119,69,119,16.9,68,5.7,1
Powdery Mildew,120,70,120,17,69,5.6,1
Powdery Mildew,121,71,121,17.1,70,5.5,1
Powdery Mildew,122,72,122,17.2,60,6.5,1
Powdery Mildew,123,73,123,17.3,61,6.4,1
Powdery Mildew,124,74,124,17.4,62,6.3,1
Powdery Mildew,125,75,125,17.5,63,6.2,1
Powdery Mildew,126,76,126,17.6,64,6.1,1
Powdery Mildew,127,77,127,17.7,65,6,1
Powdery Mildew,128,78,128,17.8,66,5.9,1
Powdery Mildew,129,79,129,17.9,67,5.8,1
Powdery Mildew,130,80,130,18,68,5.7,1
Powdery Mildew,131,81,131,18.1,69,5.6,1
Powdery Mildew,132,82,132,18.2,70,5.5,1
Powdery Mildew,133,83,133,18.3,60,6.5,1
Powdery Mildew,134,84,134,18.4,61,6.4,1
Powdery Mildew,135,85,135,18.5,62,6.3,1
Powdery Mildew,136,86,136,18.6,63,6.2,1
Powdery Mildew,137,87,137,18.7,64,6.1,1
Powdery Mildew,138,88,138,18.8,65,6,1
Powdery Mildew,139,89,139,18.9,66,5.9,1
Powdery Mildew,140,90,140,19,67,5.8,1
Powdery Mildew,141,91,141,19.1,68,5.7,1
Powdery Mildew,142,92,142,19.2,69,5.6,1
Powdery Mildew,143,93,143,19.3,70,5.5,1
Powdery Mildew,144,94,144,19.4,60,6.5,1
Powdery Mildew,145,95,145,19.5,61,6.4,1
Powdery Mildew,146,96,146,19.6,62,6.3,1
Powdery Mildew,147,97,147,19.7,63,6.2,1
Powdery Mildew,148,98,148,19.8,64,6.1,1
Powdery Mildew,149,99,149,19.9,65,6,1
Powdery Mildew,150,100,150,20,66,5.9,1
Powdery Mildew,100,50,100,20.1,67,5.8,1
Powdery Mildew,101,51,101,20.2,68,5.7,1
Powdery Mildew,102,52,102,20.3,69,5.6,1
Powdery Mildew,103,53,103,20.4,70,5.5,1
Powdery Mildew,104,54,104,20.5,60,6.5,1
Powdery Mildew,105,55,105,20.6,61,6.4,1
Powdery Mildew,106,56,106,20.7,62,6.3,1
Powdery Mildew,107,57,107,20.8,63,6.2,1
Powdery Mildew,108,58,108,20.9,64,6.1,1
Powdery Mildew,109,59,109,21,65,6,1
Powdery Mildew,110,60,110,21.1,66,5.9,1
Powdery Mildew,111,61,111,21.2,67,5.8,1
Powdery Mildew,112,62,112,21.3,68,5.7,1
Powdery Mildew,113,63,113,21.4,69,5.6,1
Powdery Mildew,114,64,114,21.5,70,5.5,1
Powdery Mildew,115,65,115,21.6,60,6.5,1
Powdery Mildew,116,66,116,21.7,61,6.4,1
Powdery Mildew,117,67,117,21.8,62,6.3,1
Powdery Mildew,118,68,118,21.9,63,6.2,1
Powdery Mildew,119,69,119,22,64,6.1,1
Powdery Mildew,120,70,120,22.1,65,6,1
Powdery Mildew,121,71,121,22.2,66,5.9,1
Powdery Mildew,122,72,122,22.3,67,5.8,1
Powdery Mildew,123,73,123,22.4,68,5.7,1
Powdery Mildew,124,74,124,22.5,69,5.6,1
Powdery Mildew,125,75,125,22.6,70,5.5,1
Powdery Mildew,126,76,126,22.7,60,6.5,1
Powdery Mildew,127,77,127,22.8,61,6.4,1
Powdery Mildew,128,78,128,22.9,62,6.3,1
Powdery Mildew,129,79,129,23,63,6.2,1
Powdery Mildew,130,80,130,23.1,64,6.1,1
Powdery Mildew,131,81,131,23.2,65,6,1
Powdery Mildew,132,82,132,23.3,66,5.9,1
Powdery Mildew,133,83,133,23.4,67,5.8,1
Powdery Mildew,134,84,134,23.5,68,5.7,1
Powdery Mildew,135,85,135,23.6,69,5.6,1
Powdery Mildew,136,86,136,23.7,70,5.5,1
Powdery Mildew,137,87,137,23.8,60,6.5,1
Powdery Mildew,138,88,138,23.9,61,6.4,1
Powdery Mildew,139,89,139,24,62,6.3,1
Powdery Mildew,140,90,140,24.1,63,6.2,1
Powdery Mildew,141,91,141,24.2,64,6.1,1
Powdery Mildew,142,92,142,24.3,65,6,1
Powdery Mildew,143,93,143,24.4,66,5.9,1
Powdery Mildew,144,94,144,24.5,67,5.8,1
Powdery Mildew,145,95,145,24.6,68,5.7,1
Powdery Mildew,146,96,146,24.7,69,5.6,1
Powdery Mildew,147,97,147,24.8,70,5.5,1
Powdery Mildew,148,98,148,24.9,60,6.5,1
Powdery Mildew,149,99,149,25,61,6.4,1
Bacterial Wilt,100,50,100,20,60,6.5,1
Bacterial Wilt,101,51,101,20.1,61,6.4,1
Bacterial Wilt,102,52,102,20.2,62,6.3,1
Bacterial Wilt,103,53,103,20.3,63,6.2,1
Bacterial Wilt,104,54,104,20.4,64,6.1,1
Bacterial Wilt,105,55,105,20.5,65,6,1
Bacterial Wilt,106,56,106,20.6,66,5.9,1
Bacterial Wilt,107,57,107,20.7,67,5.8,1
Bacterial Wilt,108,58,108,20.8,68,5.7,1
Bacterial Wilt,109,59,109,20.9,69,5.6,1
Bacterial Wilt,110,60,110,21,70,5.5,1
Bacterial Wilt,111,61,111,21.1,60,6.5,1
Bacterial Wilt,112,62,112,21.2,61,6.4,1
Bacterial Wilt,113,63,113,21.3,62,6.3,1
Bacterial Wilt,114,64,114,21.4,63,6.2,1
Bacterial Wilt,115,65,115,21.5,64,6.1,1
Bacterial Wilt,116,66,116,21.6,65,6,1
Bacterial Wilt,117,67,117,21.7,66,5.9,1
Bacterial Wilt,118,68,118,21.8,67,5.8,1
Bacterial Wilt,119,69,119,21.9,68,5.7,1
Bacterial Wilt,120,70,120,22,69,5.6,1
Bacterial Wilt,121,71,121,22.1,70,5.5,1
Bacterial Wilt,122,72,122,22.2,60,6.5,1
Bacterial Wilt,123,73,123,22.3,61,6.4,1
Bacterial Wilt,124,74,124,22.4,62,6.3,1
Bacterial Wilt,125,75,125,22.5,63,6.2,1
Bacterial Wilt,126,76,126,22.6,64,6.1,1
Bacterial Wilt,127,77,127,22.7,65,6,1
Bacterial Wilt,128,78,128,22.8,66,5.9,1
Bacterial Wilt,129,79,129,22.9,67,5.8,1
Bacterial Wilt,130,80,130,23,68,5.7,1
Bacterial Wilt,131,81,131,23.1,69,5.6,1
Bacterial Wilt,132,82,132,23.2,70,5.5,1
Bacterial Wilt,133,83,133,23.3,60,6.5,1
Bacterial Wilt,134,84,134,23.4,61,6.4,1
Bacterial Wilt,135,85,135,23.5,62,6.3,1
Bacterial Wilt,136,86,136,23.6,63,6.2,1
Bacterial Wilt,137,87,137,23.7,64,6.1,1
Bacterial Wilt,138,88,138,23.8,65,6,1
Bacterial Wilt,139,89,139,23.9,66,5.9,1
Bacterial Wilt,140,90,140,24,67,5.8,1
Bacterial Wilt,141,91,141,24.1,68,5.7,1
Bacterial Wilt,142,92,142,24.2,69,5.6,1
Bacterial Wilt,143,93,143,24.3,70,5.5,1
Bacterial Wilt,144,94,144,24.4,60,6.5,1
Bacterial Wilt,145,95,145,24.5,61,6.4,1
Bacterial Wilt,146,96,146,24.6,62,6.3,1
Bacterial Wilt,147,97,147,24.7,63,6.2,1
Bacterial Wilt,148,98,148,24.8,64,6.1,1
Bacterial Wilt,149,99,149,24.9,65,6,1
Bacterial Wilt,150,100,150,25,66,5.9,1
Bacterial Wilt,100,50,100,25.1,67,5.8,1
Bacterial Wilt,101,51,101,25.2,68,5.7,1
Bacterial Wilt,102,52,102,25.3,69,5.6,1
Bacterial Wilt,103,53,103,25.4,70,5.5,1
Bacterial Wilt,104,54,104,25.5,60,6.5,1
Bacterial Wilt,105,55,105,25.6,61,6.4,1
Bacterial Wilt,106,56,106,25.7,62,6.3,1
Bacterial Wilt,107,57,107,25.8,63,6.2,1
Bacterial Wilt,108,58,108,25.9,64,6.1,1
Bacterial Wilt,109,59,109,26,65,6,1
Bacterial Wilt,110,60,110,26.1,66,5.9,1
Bacterial Wilt,111,61,111,26.2,67,5.8,1
Bacterial Wilt,112,62,112,26.3,68,5.7,1
Bacterial Wilt,113,63,113,26.4,69,5.6,1
Bacterial Wilt,114,64,114,26.5,70,5.5,1
Bacterial Wilt,115,65,115,26.6,60,6.5,1
Bacterial Wilt,116,66,116,26.7,61,6.4,1
Bacterial Wilt,117,67,117,26.8,62,6.3,1
Bacterial Wilt,118,68,118,26.9,63,6.2,1
Bacterial Wilt,119,69,119,27,64,6.1,1
Bacterial Wilt,120,70,120,27.1,65,6,1
Bacterial Wilt,121,71,121,27.2,66,5.9,1
Bacterial Wilt,122,72,122,27.3,67,5.8,1
Bacterial Wilt,123,73,123,27.4,68,5.7,1
Bacterial Wilt,124,74,124,27.5,69,5.6,1
Bacterial Wilt,125,75,125,27.6,70,5.5,1
Bacterial Wilt,126,76,126,27.7,60,6.5,1
Bacterial Wilt,127,77,127,27.8,61,6.4,1
Bacterial Wilt,128,78,128,27.9,62,6.3,1
Bacterial Wilt,129,79,129,28,63,6.2,1
Bacterial Wilt,130,80,130,28.1,64,6.1,1
Bacterial Wilt,131,81,131,28.2,65,6,1
Bacterial Wilt,132,82,132,28.3,66,5.9,1
Bacterial Wilt,133,83,133,28.4,67,5.8,1
Bacterial Wilt,134,84,134,28.5,68,5.7,1
Bacterial Wilt,135,85,135,28.6,69,5.6,1
Bacterial Wilt,136,86,136,28.7,70,5.5,1
Bacterial Wilt,137,87,137,28.8,60,6.5,1
Bacterial Wilt,138,88,138,28.9,61,6.4,1
Bacterial Wilt,139,89,139,29,62,6.3,1
Bacterial Wilt,140,90,140,29.1,63,6.2,1
Bacterial Wilt,141,91,141,29.2,64,6.1,1
Bacterial Wilt,142,92,142,29.3,65,6,1
Bacterial Wilt,143,93,143,29.4,66,5.9,1
Bacterial Wilt,144,94,144,29.5,67,5.8,1
Bacterial Wilt,145,95,145,29.6,68,5.7,1
Bacterial Wilt,146,96,146,29.7,69,5.6,1
Bacterial Wilt,147,97,147,29.8,70,5.5,1
Bacterial Wilt,148,98,148,29.9,60,6.5,1
Bacterial Wilt,149,99,149,30,61,6.4,1
Rust Disease,100,50,100,15,60,6.5,1
Rust Disease,101,51,101,15.1,61,6.4,1
Rust Disease,102,52,102,15.2,62,6.3,1
Rust Disease,103,53,103,15.3,63,6.2,1
Rust Disease,104,54,104,15.4,64,6.1,1
Rust Disease,105,55,105,15.5,65,6,1
Rust Disease,106,56,106,15.6,66,5.9,1
Rust Disease,107,57,107,15.7,67,5.8,1
Rust Disease,108,58,108,15.8,68,5.7,1
Rust Disease,109,59,109,15.9,69,5.6,1
Rust Disease,110,60,110,16,70,5.5,1
Rust Disease,111,61,111,16.1,60,6.5,1
Rust Disease,112,62,112,16.2,61,6.4,1
Rust Disease,113,63,113,16.3,62,6.3,1
Rust Disease,114,64,114,16.4,63,6.2,1
Rust Disease,115,65,115,16.5,64,6.1,1
Rust Disease,116,66,116,16.6,65,6,1
Rust Disease,117,67,117,16.7,66,5.9,1
Rust Disease,118,68,118,16.8,67,5.8,1
Rust Disease,119,69,119,16.9,68,5.7,1
Rust Disease,120,70,120,17,69,5.6,1
Rust Disease,121,71,121,17.1,70,5.5,1
Rust Disease,122,72,122,17.2,60,6.5,1
Rust Disease,123,73,123,17.3,61,6.4,1
Rust Disease,124,74,124,17.4,62,6.3,1
Rust Disease,125,75,125,17.5,63,6.2,1
Rust Disease,126,76,126,17.6,64,6.1,1
Rust Disease,127,77,127,17.7,65,6,1
Rust Disease,128,78,128,17.8,66,5.9,1
Rust Disease,129,79,129,17.9,67,5.8,1
Rust Disease,130,80,130,18,68,5.7,1
Rust Disease,131,81,131,18.1,69,5.6,1
Rust Disease,132,82,132,18.2,70,5.5,1
Rust Disease,133,83,133,18.3,60,6.5,1
Rust Disease,134,84,134,18.4,61,6.4,1
Rust Disease,135,85,135,18.5,62,6.3,1
Rust Disease,136,86,136,18.6,63,6.2,1
Rust Disease,137,87,137,18.7,64,6.1,1
Rust Disease,138,88,138,18.8,65,6,1
Rust Disease,139,89,139,18.9,66,5.9,1
Rust Disease,140,90,140,19,67,5.8,1
Rust Disease,141,91,141,19.1,68,5.7,1
Rust Disease,142,92,142,19.2,69,5.6,1
Rust Disease,143,93,143,19.3,70,5.5,1
Rust Disease,144,94,144,19.4,60,6.5,1
Rust Disease,145,95,145,19.5,61,6.4,1
Rust Disease,146,96,146,19.6,62,6.3,1
Rust Disease,147,97,147,19.7,63,6.2,1
Rust Disease,148,98,148,19.8,64,6.1,1
Rust Disease,149,99,149,19.9,65,6,1
Rust Disease,150,100,150,20,66,5.9,1
Rust Disease,100,50,100,20.1,67,5.8,1
Rust Disease,101,51,101,20.2,68,5.7,1
Rust Disease,102,52,102,20.3,69,5.6,1
Rust Disease,103,53,103,20.4,70,5.5,1
Rust Disease,104,54,104,20.5,60,6.5,1
Rust Disease,105,55,105,20.6,61,6.4,1
Rust Disease,106,56,106,20.7,62,6.3,1
Rust Disease,107,57,107,20.8,63,6.2,1
Rust Disease,108,58,108,20.9,64,6.1,1
Rust Disease,109,59,109,21,65,6,1
Rust Disease,110,60,110,21.1,66,5.9,1
Rust Disease,111,61,111,21.2,67,5.8,1
Rust Disease,112,62,112,21.3,68,5.7,1
Rust Disease,113,63,113,21.4,69,5.6,1
Rust Disease,114,64,114,21.5,70,5.5,1
Rust Disease,115,65,115,21.6,60,6.5,1
Rust Disease,116,66,116,21.7,61,6.4,1
Rust Disease,117,67,117,21.8,62,6.3,1
Rust Disease,118,68,118,21.9,63,6.2,1
Rust Disease,119,69,119,22,64,6.1,1
Rust Disease,120,70,120,22.1,65,6,1
Rust Disease,121,71,121,22.2,66,5.9,1
Rust Disease,122,72,122,22.3,67,5.8,1
Rust Disease,123,73,123,22.4,68,5.7,1
Rust Disease,124,74,124,22.5,69,5.6,1
Rust Disease,125,75,125,22.6,70,5.5,1
Rust Disease,126,76,126,22.7,60,6.5,1
Rust Disease,127,77,127,22.8,61,6.4,1
Rust Disease,128,78,128,22.9,62,6.3,1
Rust Disease,129,79,129,23,63,6.2,1
Rust Disease,130,80,130,23.1,64,6.1,1
Rust Disease,131,81,131,23.2,65,6,1
Rust Disease,132,82,132,23.3,66,5.9,1
Rust Disease,133,83,133,23.4,67,5.8,1
Rust Disease,134,84,134,23.5,68,5.7,1
Rust Disease,135,85,135,23.6,69,5.6,1
Rust Disease,136,86,136,23.7,70,5.5,1
Rust Disease,137,87,137,23.8,60,6.5,1
Rust Disease,138,88,138,23.9,61,6.4,1
Rust Disease,139,89,139,24,62,6.3,1
Rust Disease,140,90,140,24.1,63,6.2,1
Rust Disease,141,91,141,24.2,64,6.1,1
